Year,Area,Country area,Forest land,Land area,Naturally regenerating forest,Planted Forest,Share of forests in Land area,Share of naturally regenerating forest,Share of planted forests,Carbon stock in Living Biomass,C02 removal from forest land,Net Forest conversion,Tree covered areas MODIS
2015,Chile,75609.6,17596.08,74353.2,14550.31,3045.77,23.67,82.69,17.31,2316.5239,-81741.4793,0.0,26883.1
2015,Colombia,114174.9,60134.66,110950.0,59710.66,424.0,54.2,99.29,0.71,6787.3991,-3534.3359,59250.2035,100708.98
2015,Ecuador,25637.0,12819.18,24836.0,12692.29,126.89,51.62,99.01,0.99,1416.6476,-3409.3808,20347.6906,21406.09
2015,French Guiana,8360.0,8020.0,8281.0,8019.3,0.7,96.85,99.99,0.01,1706.255,0.0,2574.275,8167.64
2015,Guyana,21497.0,18461.36,19685.0,18461.36,0.0,93.78,100.0,0.0,5330.5331,0.0,12376.3589,19407.17
2015,Paraguay,40675.2,17498.94,39730.0,17400.41,98.53,44.04,99.44,0.56,785.3524,-1570.8898,69740.528,33833.86
2015,Peru,128522.0,73194.53,128000.0,72137.36,1057.17,57.18,98.56,1.44,10354.0982,-9051.0823,97774.5114,79061.82
2015,South America,1780376.7,856588.44,1746172.2,838116.79,18471.65,49.06,97.84,2.16,97318.2446,-658546.699,1312436.3857,1122139.24
2015,Suriname,16382.0,15251.67,15600.0,15237.52,14.15,97.77,99.91,0.09,3219.475,0.0,7459.7799,13950.04
2015,Uruguay,17622.0,1920.0,17502.0,849.0,1071.0,10.97,44.22,55.78,115.2,-7033.18,0.0,5818.21
2015,Venezuela,91205.0,46683.0,88205.0,45329.41,1353.59,52.93,97.1,2.9,5560.879,2137.5754,104504.9606,68230.67
2016,Argentina,278040.0,29010.0,273669.0,27695.0,1315.0,10.6,95.47,4.53,3209.6664,-27952.2907,54702.45,59584.08
2016,Bolivia,109858.0,51750.68,108330.0,51690.44,60.24,47.77,99.88,0.12,3984.2849,-318.9952,67700.9512,72264.58
2016,Brazil,851577.0,502082.1,835814.0,492059.0,10023.1,60.07,98.0,2.0,52367.163,-269412.8448,653402.772,601307.52
2016,Chile,75670.0,17719.01,74353.2,14662.93,3056.08,23.83,82.75,17.25,2333.4164,-58269.1025,0.0,27285.79
2016,Colombia,114174.9,59959.49,110950.0,59532.09,427.4,54.04,99.29,0.71,6767.6276,-281.4225,82452.6637,100232.29
2016,Ecuador,25637.0,12754.91,24836.0,12631.19,123.72,51.36,99.03,0.97,1409.5451,0.0,26042.4182,21534.61
2016,French Guiana,8360.0,8016.57,8281.0,8015.87,0.7,96.81,99.99,0.01,1705.5253,-15.6017,2691.2875,8164.31
2016,Guyana,21497.0,18452.16,19685.0,18452.16,0.0,93.74,100.0,0.0,5327.8767,0.0,9744.3975,19399.41
2016,Paraguay,40675.2,17333.13,39730.0,17223.17,109.96,43.63,99.37,0.63,777.9109,-1880.2626,47847.7947,33587.04
2016,Peru,128522.0,73010.28,128000.0,71945.89,1064.39,57.04,98.54,1.46,10328.0342,-3246.9785,92892.6325,78923.52
2016,South America,1780437.1,853818.91,1746172.2,835171.66,18647.25,48.9,97.82,2.18,97088.7173,-362324.9293,1085941.5365,1110437.77
2016,Suriname,16382.0,15240.32,15600.0,15226.17,14.15,97.69,99.91,0.09,3217.0791,0.0,8572.7871,13948.58
2016,Uruguay,17622.0,1947.0,17502.0,849.0,1098.0,11.12,43.61,56.39,116.82,-1905.2,0.0,6105.34
2016,Venezuela,91205.0,46543.26,88205.0,45188.75,1354.51,52.77,97.09,2.91,5543.7677,957.7691,39891.3821,67616.99
2017,Argentina,278040.0,28899.0,273669.0,27555.0,1344.0,10.56,95.35,4.65,3201.7202,-27952.2907,54702.45,61389.15
2017,Bolivia,109858.0,51492.22,108330.0,51429.65,62.57,47.53,99.88,0.12,3964.386,-318.9952,67700.9512,72221.17
2017,Brazil,851577.0,500091.6,835814.0,490251.9,9839.7,59.83,98.03,1.97,52209.563,-269412.8448,653402.772,596253.93
2017,Chile,75670.0,17841.94,74353.2,14753.7,3088.24,24.0,82.69,17.31,2348.8914,-58269.1025,0.0,27358.53
2017,Colombia,114174.9,59739.77,110950.0,59312.37,427.4,53.84,99.28,0.72,6742.8278,-281.4225,82452.6637,100307.72
2017,Ecuador,25637.0,12690.64,24836.0,12570.09,120.54,51.1,99.05,0.95,1402.4426,0.0,26042.4182,21593.41
2017,French Guiana,8360.0,8013.14,8281.0,8012.44,0.7,96.77,99.99,0.01,1704.7955,-15.6017,2691.2875,8167.44
2017,Guyana,21497.0,18442.95,19685.0,18442.95,0.0,93.69,100.0,0.0,5325.2174,0.0,9744.3975,19415.11
2017,Paraguay,40675.2,16940.27,39730.0,16818.89,121.38,42.64,99.28,0.72,760.2793,-1880.2626,47847.7947,33483.97
2017,Peru,128522.0,72834.78,128000.0,71765.01,1069.77,56.9,98.53,1.47,10303.208,-3246.9785,92892.6325,79005.71
